age,balance,duration,campaign,pdays,previous,cluster,anomaly_score,Outlier
58,2143,261,1,-1,0,0,0.05338217693110259,Normal
44,29,151,1,-1,0,0,0.08522720620845192,Normal
33,2,76,1,-1,0,0,0.16716024839859472,Normal
47,1506,92,1,-1,0,0,0.05841230917762097,Normal
33,1,198,1,-1,0,0,0.030752641016516757,Normal
35,231,139,1,-1,0,0,0.06335598158423539,Normal
28,447,217,1,-1,0,0,0.053433841056703235,Normal
42,2,380,1,-1,0,0,0.06945929334001177,Normal
58,121,50,1,-1,0,0,0.1514862200170764,Normal
43,593,55,1,-1,0,0,0.12102996911453906,Normal
41,270,222,1,-1,0,0,0.1355244077375128,Normal
29,390,137,1,-1,0,0,0.08522720620845192,Normal
53,6,517,1,-1,0,0,0.12527845114087033,Normal
58,71,71,1,-1,0,0,0.10424398420060182,Normal
57,162,174,1,-1,0,0,0.13602735670902544,Normal
51,229,353,1,-1,0,0,0.10508798621288068,Normal
45,13,98,1,-1,0,0,0.055811277465759535,Normal
57,52,38,1,-1,0,0,0.1514862200170764,Normal
60,60,219,1,-1,0,0,0.1514862200170764,Normal
33,0,54,1,-1,0,0,0.16716024839859472,Normal
28,723,262,1,-1,0,0,0.16716024839859472,Normal
56,779,164,1,-1,0,0,0.06335598158423539,Normal
32,23,160,1,-1,0,0,0.058372600470882774,Normal
25,50,342,1,-1,0,0,0.12527845114087033,Normal
40,0,181,1,-1,0,0,0.1514862200170764,Normal
44,-372,172,1,-1,0,0,0.13602735670902544,Normal
39,255,296,1,-1,0,0,0.053433841056703235,Normal
52,113,127,1,-1,0,0,0.13602735670902544,Normal
46,-246,255,2,-1,0,0,0.05525395311877579,Normal
36,265,348,1,-1,0,0,0.0830115603270728,Normal
57,839,225,1,-1,0,0,0.13903080871247497,Normal
49,378,230,1,-1,0,0,0.0925422395962327,Normal
60,39,208,1,-1,0,0,0.16716024839859472,Normal
59,0,226,1,-1,0,0,0.16716024839859472,Normal
51,10635,336,1,-1,0,0,0.01105787875021802,Normal
57,63,242,1,-1,0,0,0.1355244077375128,Normal
25,-7,365,1,-1,0,0,0.12527845114087033,Normal
53,-3,1666,1,-1,0,0,0.09756032332394904,Normal
36,506,577,1,-1,0,0,0.09696214447027646,Normal
37,0,137,1,-1,0,0,0.08522720620845192,Normal
44,2586,160,1,-1,0,0,0.054099854655281776,Normal
50,49,180,2,-1,0,0,0.07378157466103019,Normal
60,104,22,1,-1,0,0,0.10424398420060182,Normal
54,529,1492,1,-1,0,0,0.12527845114087033,Normal
58,96,616,1,-1,0,0,0.06536566833042823,Normal
36,-171,242,1,-1,0,0,0.0953381297908279,Normal
58,-364,355,1,-1,0,0,0.09515104489355769,Normal
44,0,225,2,-1,0,0,0.16794618613620887,Normal
55,0,160,1,-1,0,0,0.07558335538405458,Normal
29,0,363,1,-1,0,0,0.022841614114985087,Normal
54,1291,266,1,-1,0,0,0.16716024839859472,Normal
48,-244,253,1,-1,0,0,0.06878908026605624,Normal
32,0,179,1,-1,0,0,0.06335598158423539,Normal
42,-76,787,1,-1,0,0,0.0830115603270728,Normal
24,-103,145,1,-1,0,0,0.08522720620845192,Normal
38,243,174,1,-1,0,0,0.03791918501560265,Normal
38,424,104,1,-1,0,0,0.02178186858391562,Normal
47,306,13,1,-1,0,0,0.10424398420060182,Normal
40,24,185,1,-1,0,0,0.055811277465759535,Normal
46,179,1778,1,-1,0,0,0.10508798621288068,Normal
32,0,138,1,-1,0,0,0.10491546357489018,Normal
53,989,812,1,-1,0,0,0.09696214447027646,Normal
57,249,164,1,-1,0,0,0.11628549596529081,Normal
33,790,391,1,-1,0,0,0.12527845114087033,Normal
49,154,357,1,-1,0,0,0.06536566833042823,Normal
51,6530,91,1,-1,0,0,0.05338217693110259,Normal
60,100,528,1,-1,0,0,0.07327717029441383,Normal
59,59,273,1,-1,0,0,0.06878908026605624,Normal
55,1205,158,2,-1,0,0,0.13780308210452819,Normal
35,12223,177,1,-1,0,0,0.04024136091902519,Normal
57,5935,258,1,-1,0,0,0.11772792713487579,Normal
31,25,172,1,-1,0,0,0.13602735670902544,Normal
54,282,154,1,-1,0,0,0.07300595735675486,Normal
55,23,291,1,-1,0,0,0.1514862200170764,Normal
43,1937,181,1,-1,0,0,0.11772792713487579,Normal
53,384,176,1,-1,0,0,0.13602735670902544,Normal
44,582,211,1,-1,0,0,0.13903080871247497,Normal
55,91,349,1,-1,0,0,0.07206041006806707,Normal
49,0,272,1,-1,0,0,0.1355244077375128,Normal
55,1,208,1,-1,0,0,0.1355244077375128,Normal
45,206,193,1,-1,0,0,0.12102996911453906,Normal
47,164,212,1,-1,0,0,0.1096087323893305,Normal
42,690,20,1,-1,0,0,0.12102996911453906,Normal
59,2343,1042,1,-1,0,0,0.0790638223044623,Normal
46,137,246,1,-1,0,0,0.14039573917844755,Normal
51,173,529,2,-1,0,0,0.10762313345726743,Normal
